的	DE_0;DI_1;DI_4;DI_2;DI_0
麻烦	MA_2 FAN_2;MA_2 FAN_0
我来	WO_3 LAI_2
规划	GUI_1 HUA_4
好多	HAO_3 DUO_1
冒昧	MAO_4 MEI_4
不一定	BU_4 YI_2 DING_4
没办法	MEI_2 BAN_4 FA_3
爱好	AI_4 HAO_4
单位	DAN_1 WEI_4
二	ER_4
没时间	MEI_2 SHI_2 JIAN_1
根据	GEN_1 JU_4
大学	DA_4 XUE_2
老师的话	LAO_3 SHI_1 DE_0 HUA_4
年轻	NIAN_2 QING_1
号码	HAO_4 MA_3
呐	NA_4;NA_0;NE_4;NE_0
诚意	CHENG_2 YI_4
到底	DAO_4 DI_3
一家	YI_4 JIA_1
情	QING_2;QING_0
在哪里	ZAI_4 NA_2 LI_3
大一	DA_4 YI_1
女方	NV_3 FANG_1
分	FEN_1;FEN_4;FEN_0
半年	BAN_4 NIAN_2
经理	JING_1 LI_3
同事	TONG_2 SHI_4
路	LU_4
白	BAI_2
三十五	SAN_1 SHI_2 WU_3;SAN_1 SHI_0 WU_3
状态	ZHUANG_4 TAI_4
或	HUO_4
专业	ZHUAN_1 YE_4
三十岁	SAN_1 SHI_2 SUI_4
地	DE_0;DI_4;DI_0
万	MO_4;WAN_4
远	YUAN_4;YUAN_3
偶尔	OU_2 ER_3;OU_2 ER_0;OU_3 ER_3
不一样	BU_4 YI_2 YANG_4
就算	JIU_4 SUAN_4;JIU_4 SUAN_0
其中	QI_2 ZHONG_1
坐	ZUO_4
几点钟	JI_2 DIAN_3 ZHONG_1;JI_3 DIAN_3 ZHONG_1
网	WANG_3
恋爱	LIAN_4 AI_4
我能	WO_3 NENG_2
标准	BIAO_1 ZHUN_3
近期	JIN_4 QI_1
都都	DU_1 DU_1
请问	QING_3 WEN_4
句	GOU_1;JU_4
声音	SHENG_1 YIN_1
每个人	MEI_3 GE_4 REN_2
销售	XIAO_1 SHOU_4
压力	YA_1 LI_4
活动	HUO_2 DONG_4;HUO_2 DONG_0
很高	HEN_3 GAO_1
身材	SHEN_1 CAI_2
接听	JIE_1 TING_1
谁	SHEI_2;SHUI_2
本科学历	BEN_3 KE_1 XUE_2 LI_4
三	SAN_1
经历	JING_1 LI_4
保证	BAO_3 ZHENG_4
排	PAI_2;PAI_3
看起来	KAN_4 QI_3 LAI_2
相亲	XIANG_1 QIN_1
很少	HEN_2 SHAO_3;HEN_3 SHAO_3
不高	BU_4 GAO_1
请假	QING_3 JIA_4
照顾	ZHAO_4 GU_4;ZHAO_4 GU_0
手机号	SHOU_3 JI_1 HAO_4
普通	PU_3 TONG_1
不了解	BU_4 LIAO_2 JIE_3;BU_4 LIAO_3 JIE_3
你我	NI_2 WO_3
挂	GUA_4
确认	QUE_4 REN_4
兴趣	XING_4 QU_4;XING_4 QU_0
谈恋爱	TAN_2 LIAN_4 AI_4
说话	SHUO_1 HUA_4
就这样	JIU_4 ZHE_4 YANG_4
面对面	MIAN_4 DUI_4 MIAN_4
而已	ER_2 YI_3
回家	HUI_2 JIA_1
虑	LV_4
建议您	JIAN_4 YI_4 NIN_2
不用说	BU_2 YONG_4 SHUO_1
度	DUO_2;DU_4;DU_0
验证	YAN_4 ZHENG_4
周天	ZHOU_1 TIAN_1
是啊	SHI_4 A_3;SHI_4 A_0
办法	BAN_4 FA_3
以及	YI_3 JI_2
哇	WA_1;WA_0
挺好	TING_2 HAO_3;TING_3 HAO_3
向	XIANG_4
后来	HOU_4 LAI_2
一个男孩	YI_2 GE_4 NAN_2 HAI_2
定位	DING_4 WEI_4
你就是	NI_3 JIU_4 SHI_4
有空	YOU_3 KONG_4
地区	DI_4 QU_1
问你	WEN_4 NI_3
购房	GOU_4 FANG_2
异性	YI_4 XING_4
想着	XIANG_3 ZHE_0
二十五	ER_4 SHI_2 WU_3;ER_4 SHI_0 WU_3
要么	YAO_4 ME_0
这次	ZHEI_4 CI_4;ZHE_4 CI_4
追求	ZHUI_1 QIU_2
多一	DUO_1 YI_1
注重	ZHU_4 ZHONG_4
职业	ZHI_2 YE_4
早点	ZAO_2 DIAN_3;ZAO_3 DIAN_3
高端	GAO_1 DUAN_1
就是这样	JIU_4 SHI_4 ZHE_4 YANG_4
广场	GUANG_2 CHANG_3;GUANG_3 CHANG_3
分钟	FEN_1 ZHONG_1
换	HUAN_4;HUAN_0
还有什么	HAI_2 YOU_3 SHEN_2 ME_0
真实性	ZHEN_1 SHI_2 XING_4
姑娘	GU_1 NIANG_2;GU_1 NIANG_0
谈吐	TAN_2 TU_3
尽量	JIN_4 LIANG_4;JIN_3 LIANG_4
常	CHANG_2
工号	GONG_1 HAO_4
会考	HUI_4 KAO_3
申请	SHEN_1 QING_3
目的	MU_4 DI_4;MU_4 DI_0
不用担心	BU_2 YONG_4 DAN_1 XIN_1
八千	BA_1 QIAN_1
多了	DUO_1 LE_0;DUO_1 LIAO_3
后天	HOU_4 TIAN_1;HOU_4 TIAN_0
针对性	ZHEN_1 DUI_4 XING_4
没有了	MEI_2 YOU_3 LE_0
不上	BU_2 SHANG_4
相关	XIANG_1 GUAN_1
四点	SI_4 DIAN_3
就要	JIU_4 YAO_4;JIU_4 YAO_0
站	ZHAN_4
过日子	GUO_4 RI_4 ZI_0
成功	CHENG_2 GONG_1
婚	HUN_1
七八	QI_1 BA_1
饭	FAN_4
甄选	ZHEN_1 XUAN_3
我真的	WO_3 ZHEN_1 DE_0
脾气	PI_2 QI_4;PI_2 QI_0
得到	DE_2 DAO_4
打扰	DA_2 RAO_3;DA_3 RAO_3
那样	NA_4 YANG_4;NEI_4 YANG_4
既然	JI_4 RAN_2
急	JI_2
聊天	LIAO_2 TIAN_1
免费	MIAN_3 FEI_4
被	BEI_4
士	SHI_4;SHI_0
在北京	ZAI_4 BEI_3 JING_1
十一点	SHI_2 YI_1 DIAN_3
是否	SHI_4 FOU_3
收	SHOU_1
女孩	NV_3 HAI_2
七五	QI_1 WU_3
打扮	DA_3 BAN_4;DA_3 BAN_0
三十	SAN_1 SHI_2
骗子	PIAN_4 ZI_0
三观	SAN_1 GUAN_1
周五	ZHOU_1 WU_3
将就	JIANG_1 JIU_4;JIANG_1 JIU_0
老	LAO_3
稍	SHAO_1;SHAO_4
按	AN_4
天天	TIAN_1 TIAN_1
半个	BAN_4 GE_4;BAN_4 GE_0
固定	GU_4 DING_4
型	XING_2
做好	ZUO_4 HAO_3
成熟	CHENG_2 SHU_2
几分	JI_3 FEN_1
大部分	DA_4 BU_4 FEN_4;DA_4 BU_4 FEN_0
主动	ZHU_3 DONG_4
更多	GENG_4 DUO_1
抽烟	CHOU_1 YAN_1
男人	NAN_2 REN_2;NAN_2 REN_0
信	XIN_4
不清楚	BU_4 QING_1 CHU_3
样	YANG_4
那个那个	NA_4 GE_4 NA_4 GE_4
重要	ZHONG_4 YAO_4
贵姓	GUI_4 XING_4
九	JIU_2;JIU_3
求	QIU_2
一张	YI_4 ZHANG_1
很大	HEN_3 DA_4
有些人	YOU_3 XIE_1 REN_2
不大	BU_2 DA_4
你的要求	NI_3 DE_0 YAO_1 QIU_2
有人	YOU_3 REN_2
要不然	YAO_4 BU_4 RAN_2;YAO_4 BU_0 RAN_2
也就是说	YE_3 JIU_4 SHI_4 SHUO_1
二十八	ER_4 SHI_2 BA_1;ER_4 SHI_0 BA_1
加我	JIA_1 WO_3
周日	ZHOU_1 RI_4
两岁	LIANG_3 SUI_4
考	KAO_3
最起码	ZUI_4 QI_3 MA_3
怎么说	ZEN_3 ME_0 SHUO_1
不来	BU_4 LAI_2
优先	YOU_1 XIAN_1
做饭	ZUO_4 FAN_4
好好好	HAO_2 HAO_2 HAO_3
说说	SHUO_1 SHUO_1;SHUO_1 SHUO_0
星期	XING_1 QI_1
算	SUAN_4;SUAN_0
杭州	HANG_2 ZHOU_1
情感	QING_2 GAN_3
咨询	ZI_1 XUN_2
男方	NAN_2 FANG_1
运动	YUN_4 DONG_4;YUN_4 DONG_0
并且	BING_4 QIE_3
而	ER_2;ER_3
第三	DI_4 SAN_1
上来	SHANG_4 LAI_2;SHANG_4 LAI_0
心里	XIN_1 LI_3;XIN_1 LI_0
七	QI_1
重庆	CHONG_2 QING_4
多一点	DUO_1 YI_4 DIAN_3
影响	YING_2 XIANG_3;YING_3 XIANG_3
是个	SHI_4 GE_4;SHI_4 GE_0
留	LIU_2
说到	SHUO_1 DAO_4
四岁	SI_4 SUI_4
两位	LIANG_3 WEI_4
关键	GUAN_1 JIAN_4
周	ZHOU_1
是非	SHI_4 FEI_1;SHI_4 FEI_0
我们我们	WO_3 MEN_0 WO_3 MEN_0
估计	GU_1 JI_4
查	CHA_2;ZHA_1
喽	LOU_2;LOU_0
小的	XIAO_3 DE_0
银行	YIN_2 HANG_2
儿	ER_2;ER_0
倒是	DAO_3 SHI_4
在哪	ZAI_4 NA_3
教	JIAO_1;JIAO_4
发短信	FA_1 DUAN_3 XIN_4
随时	SUI_2 SHI_2
不打扰	BU_4 DA_2 RAO_3
面条	MIAN_4 TIAO_2
深圳	SHEN_1 ZHEN_4
胖	PAN_2;PANG_4
一米八	YI_4 MI_3 BA_1
南京	NAN_2 JING_1
关注	GUAN_1 ZHU_4
微信号	WEI_1 XIN_4 HAO_4
我等	WO_3 DENG_3
之内	ZHI_1 NEI_4
喝酒	HE_1 JIU_3
隐私	YIN_3 SI_1
铁	TIE_3;TIE_0
内	NEI_4
唉	AI_1;AI_4
多大	DUO_1 DA_4
八	BA_1;BA_2;BA_0
客户	KE_4 HU_4
家长	JIA_1 ZHANG_3
地铁	DI_4 TIE_3
保持	BAO_3 CHI_2
穿	CHUAN_1
看过	KAN_1 GUO_4;KAN_1 GUO_0;KAN_4 GUO_4
那天	NA_4 TIAN_1;NEI_4 TIAN_1
楚	CHU_3
利益	LI_4 YI_4;LI_4 YI_0
小姐	XIAO_2 JIE_3;XIAO_3 JIE_3;XIAO_3 JIE_0
看一看	KAN_4 YI_1 KAN_4;KAN_4 YI_2 KAN_4
全部	QUAN_2 BU_4
两天	LIANG_3 TIAN_1
自由	ZI_4 YOU_2
不要说	BU_2 YAO_4 SHUO_1
不算	BU_2 SUAN_4
问我	WEN_4 WO_3
位置	WEI_4 ZHI_4
严肃	YAN_2 SU_4
不说	BU_4 SHUO_1
就能	JIU_4 NENG_2
特别的	TE_4 BIE_2 DE_0
补充	BU_3 CHONG_1
也需	YE_3 XU_1
真	ZHEN_1
不敢	BU_4 GAN_3
假	JIA_4;JIA_3
放	FANG_4
家里人	JIA_1 LI_3 REN_2
举办	JU_3 BAN_4
长时间	CHANG_2 SHI_2 JIAN_1
酒	JIU_3
要说	YAO_4 SHUO_1
哈哈	HA_1 HA_1;HA_1 HA_0
电	DIAN_4
不出	BU_4 CHU_1
过程	GUO_4 CHENG_2
很忙	HEN_3 MANG_2
还行	HAI_2 XING_2
听到	TING_1 DAO_4
严格	YAN_2 GE_2
亲爱的你	QIN_1 AI_4 DE_0 NI_3
结束	JIE_2 SHU_4
学校	XUE_2 XIAO_4
实名制	SHI_2 MING_2 ZHI_4
以为	YI_3 WEI_2
交流	JIAO_1 LIU_2
真心实意	ZHEN_1 XIN_1 SHI_2 YI_4
发了	FA_1 LE_0
稳重	WEN_3 ZHONG_4
坐地	ZUO_4 DI_4
跟着	GEN_1 ZHE_0
舒服	SHU_1 FU_2;SHU_1 FU_0
息	XI_1;XI_0
发现	FA_1 XIAN_4
一边	YI_4 BIAN_1
范围	FAN_4 WEI_2;FAN_4 WEI_0
决定	JUE_2 DING_4
喝	HE_1;HE_4;HE_0
哪怕	NA_3 PA_4
大厦	DA_4 SHA_4
帮忙	BANG_1 MANG_2
实话	SHI_2 HUA_4
企业	QI_3 YE_4
赶	GAN_3
小孩子	XIAO_3 HAI_2 ZI_3;XIAO_3 HAI_2 ZI_0
最后	ZUI_4 HOU_4
转	ZHUAN_4;ZHUAI_3;ZHUAN_3
证	ZHENG_4
块钱	KUAI_4 QIAN_2
愿	YUAN_4
比如	BI_3 RU_2
外地	WAI_4 DI_4
处理	CHU_2 LI_3;CHU_3 LI_3
妈	MA_1
改	GAI_3
位	WEI_4
城市	CHENG_2 SHI_4
高一	GAO_1 YI_1
几年	JI_3 NIAN_2
同时	TONG_2 SHI_2
广东	GUANG_3 DONG_1
干	GAN_1;GAN_4;GAN_0
上去	SHANG_4 QU_4;SHANG_4 QU_0;SHANG_3 QU_4
慢慢	MAN_4 MAN_1;MAN_4 MAN_4
进去	JIN_4 QU_4;JIN_4 QU_0
空	KONG_1;KONG_4;KONG_0
走到	ZOU_3 DAO_4
西安	XI_1 AN_1
忙完	MANG_2 WAN_2
累	LEI_4;LEI_2;LEI_3
学历证	XUE_2 LI_4 ZHENG_4
出门	CHU_1 MEN_2
预留	YU_4 LIU_2
同意	TONG_2 YI_4
等等	DENG_2 DENG_3;DENG_3 DENG_3;DENG_3 DENG_0
办理	BAN_4 LI_3
尝试	CHANG_2 SHI_4
随和	SUI_2 HE_2
突然	TU_1 RAN_2
连	LIAN_2
外面	WAI_4 MIAN_4;WAI_4 MIAN_0
订	DING_4
南方	NAN_2 FANG_1
素养	SU_4 YANG_3
算是	SUAN_4 SHI_4
放在	FANG_4 ZAI_4;FANG_4 ZAI_0
名额	MING_2 E_2
不着	BU_4 ZHAO_2
留言	LIU_2 YAN_2
不靠	BU_4 KAO_4;BU_2 KAO_4
谱	PU_3
成都	CHENG_2 DU_1
审核	SHEN_3 HE_2
七夕	QI_1 XI_1
无所谓	WU_2 SUO_3 WEI_4
怎样	ZEN_3 YANG_4
长沙	CHANG_2 SHA_1
事业	SHI_4 YE_4
开通	KAI_1 TONG_1
互相	HU_4 XIANG_1
一会	YI_2 HUI_4
不介意	BU_2 JIE_4 YI_4
分开	FEN_1 KAI_1;FEN_1 KAI_0
前面	QIAN_2 MIAN_4;QIAN_2 MIAN_0
当地	DANG_1 DI_4
五千	WU_3 QIAN_1
正好	ZHENG_4 HAO_3
车子	CHE_1 ZI_0
我不想	WO_3 BU_4 XIANG_3
全国	QUAN_2 GUO_2
踏实	TA_1 SHI_0
白天	BAI_2 TIAN_1
干净	GAN_1 JING_4;GAN_1 JING_0
新的	XIN_1 DE_0
作为	ZUO_4 WEI_2
在深圳	ZAI_4 SHEN_1 ZHEN_4
试	SHI_4
点钟	DIAN_3 ZHONG_1
时	SHI_2
周一	ZHOU_1 YI_1
避免	BI_4 MIAN_3
原来	YUAN_2 LAI_2
独立	DU_2 LI_4
一个个	YI_2 GE_4 GE_4;YI_2 GE_4 GE_0
健身	JIAN_4 SHEN_1
强	JIANG_4;QIANG_2;QIANG_3
带小孩	DAI_4 XIAO_3 HAI_2
一辈子	YI_2 BEI_4 ZI_0
等到	DENG_3 DAO_4
片	PIAN_1;PIAN_4
等我	DENG_2 WO_3
等于	DENG_3 YU_2;DENG_3 YU_0
性	XING_4;XING_0
意	YI_4;YI_0
正规	ZHENG_4 GUI_1
财务	CAI_2 WU_4
收获	SHOU_1 HUO_4
对了	DUI_4 LE_0
相信	XIANG_1 XIN_4
交钱	JIAO_1 QIAN_2
婚恋	HUN_1 LIAN_4
去去	QU_4 QU_4
定	DING_4
说明	SHUO_1 MING_2
他想	TA_1 XIANG_3
看得	KAN_4 DE_0
硕士	SHUO_4 SHI_4;SHUO_4 SHI_0
结果	JIE_2 GUO_3
沈阳	SHEN_3 YANG_2
身体	SHEN_1 TI_3
现实	XIAN_4 SHI_2
相当于	XIANG_1 DANG_1 YU_2
显示	XIAN_3 SHI_4
保守	BAO_2 SHOU_3;BAO_3 SHOU_3
朝	CHAO_2;ZHAO_1
午	WU_3
还会	HAI_2 HUI_4
评价	PING_2 JIA_4
重新	CHONG_2 XIN_1
出发	CHU_1 FA_1
只需	ZHI_3 XU_1
两分钟	LIANG_3 FEN_1 ZHONG_1
很重	HEN_3 ZHONG_4
合得来	HE_2 DE_0 LAI_2
课	KE_4
接电话	JIE_1 DIAN_4 HUA_4
星期天	XING_1 QI_1 TIAN_1
配合	PEI_4 HE_2
住在	ZHU_4 ZAI_4
我希望	WO_3 XI_1 WANG_4
在身	ZAI_4 SHEN_1
每	MEI_3
五十	WU_3 SHI_2
真正	ZHEN_1 ZHENG_4
实名认证	SHI_2 MING_2 REN_4 ZHENG_4
医生	YI_1 SHENG_1
到时	DAO_4 SHI_2
长期	CHANG_2 QI_1
四十岁	SI_4 SHI_2 SUI_4
根本	GEN_1 BEN_3
得来	DE_0 LAI_2
托	TUO_1
现场	XIAN_4 CHANG_3
值	ZHI_2
人品	REN_2 PIN_3;REN_2 PIN_0
基本条件	JI_1 BEN_3 TIAO_2 JIAN_4
掉	DIAO_4
正在	ZHENG_4 ZAI_4;ZHENG_4 ZAI_0
中间	ZHONG_1 JIAN_1
蛮高	MAN_2 GAO_1
种	CHONG_2;ZHONG_4;ZHONG_3
抽出	CHOU_1 CHU_1
师	SHI_1
自身	ZI_4 SHEN_1
晚点	WAN_2 DIAN_3;WAN_3 DIAN_3
信号	XIN_4 HAO_4
新	XIN_1
需要你	XU_1 YAO_4 NI_3
不懂	BU_4 DONG_3;BU_2 DONG_3
五官	WU_3 GUAN_1
湖南	HU_2 NAN_2
两三	LIANG_3 SAN_1
找我	ZHAO_2 WO_3
明确	MING_2 QUE_4
登录	DENG_1 LU_4
还记得吗	HAI_2 JI_4 DE_0 MA_0
孝顺	XIAO_4 SHUN_4
为主	WEI_2 ZHU_3
低	DI_1
喂喂	WEI_4 WEI_4
浪费时间	LANG_4 FEI_4 SHI_2 JIAN_1
一会儿	YI_4 HUI_4 ER_0;YI_2 HUI_4 ER_0
将	JIANG_1;JIANG_4;QIANG_1
假如	JIA_3 RU_2
难	NAN_4;NAN_2;NAN_0
偏	PIAN_1
刻意	KE_4 YI_4
下周	XIA_4 ZHOU_1
方	FANG_1
告诉我	GAO_4 SU_4 WO_3
认可	REN_4 KE_3
总	ZONG_3
错	CUO_4
见到	JIAN_4 DAO_4;JIAN_4 DAO_0
万一	WAN_4 YI_1
拿到	NA_2 DAO_4
完善	WAN_2 SHAN_4
系统	XI_4 TONG_3
我是我	WO_3 SHI_4 WO_3
说真的	SHUO_1 ZHEN_1 DE_0
给你们	GEI_3 NI_3 MEN_0
项目	XIANG_4 MU_4
二十九	ER_4 SHI_2 JIU_3;ER_4 SHI_0 JIU_3
共同	GONG_4 TONG_2
再再	ZAI_4 ZAI_4
这点	ZHEI_4 DIAN_3;ZHE_4 DIAN_3
不怎么	BU_4 ZEN_3 ME_0
身份	SHEN_1 FEN_4;SHEN_1 FEN_0
整个	ZHENG_3 GE_4
不同	BU_4 TONG_2
触动	CHU_4 DONG_4
性质	XING_4 ZHI_4
事业单位	SHI_4 YE_4 DAN_1 WEI_4
二十	ER_4 SHI_2
可	KE_4;KE_3
进	JIN_4
优质	YOU_1 ZHI_4
广告	GUANG_3 GAO_4
附近	FU_4 JIN_4
产生	CHAN_3 SHENG_1
同学	TONG_2 XUE_2
六点半	LIU_4 DIAN_3 BAN_4
公务员	GONG_1 WU_4 YUAN_2
这份	ZHE_4 FEN_4
签	QIAN_1
起码	QI_2 MA_3;QI_3 MA_3
单独	DAN_1 DU_2
那时候	NA_4 SHI_2 HOU_4;NA_4 SHI_2 HOU_0
看重	KAN_4 ZHONG_4
市	SHI_4;SHI_0
哦也	O_4 YE_3
经过	JING_1 GUO_4
学习	XUE_2 XI_2
我家	WO_3 JIA_1
加油	JIA_1 YOU_2
太清	TAI_4 QING_1
每次	MEI_3 CI_4
医院	YI_1 YUAN_4
哥	GE_1;GE_0
爸妈	BA_4 MA_1
两点钟	LIANG_3 DIAN_3 ZHONG_1
解决	JIE_3 JUE_2
儿子	ER_2 ZI_3;ER_2 ZI_0
看着	KAN_1 ZHE_0;KAN_4 ZHE_0
毕业	BI_4 YE_4
开会	KAI_1 HUI_4
次	CI_4
南宁	NAN_2 NING_2
达到	DA_2 DAO_4
妈妈	MA_1 MA_1;MA_1 MA_0
为您	WEI_4 NIN_2
有啊	YOU_3 A_0
旁边	PANG_2 BIAN_1
女人	NV_3 REN_2;NV_3 REN_0
多少钱	DUO_1 SHAO_3 QIAN_2
武汉	WU_3 HAN_4
未来	WEI_4 LAI_2
作	ZUO_1;ZUO_4;ZUO_2;ZUO_0
背景	BEI_4 JING_3
现实生活	XIAN_4 SHI_2 SHENG_1 HUO_2
记	JI_4;JI_0
做到	ZUO_4 DAO_4
应酬	YING_4 CHOU_2;YING_4 CHOU_0
务	WU_4;WU_0
提	DI_1;TI_2
不远	BU_4 YUAN_3
购车	GOU_4 CHE_1
相互	XIANG_1 HU_4
感兴趣	GAN_3 XING_4 QU_4
周三	ZHOU_1 SAN_1
去年	QU_4 NIAN_2
婚托	HUN_1 TUO_1
回到	HUI_2 DAO_4
调	DIAO_4;DIAO_0;TIAO_4;TIAO_2
靠	KAO_4
尽快	JIN_3 KUAI_4
大四	DA_4 SI_4
开放	KAI_1 FANG_4
证明	ZHENG_4 MING_2
告诉你	GAO_4 SU_4 NI_3
有的人	YOU_3 DE_0 REN_2
休	XIU_1
今天下午	JIN_1 TIAN_1 XIA_4 WU_3
接到	JIE_1 DAO_4;JIE_1 DAO_0
费	FEI_4
缺乏	QUE_1 FA_2
挑	TIAO_1;TIAO_3;TIAO_0
说来	SHUO_1 LAI_2
最重要	ZUI_4 ZHONG_4 YAO_4
前台	QIAN_2 TAI_2
买房	MAI_3 FANG_2
生意	SHENG_1 YI_4;SHENG_1 YI_0
什么东西	SHEN_2 ME_0 DONG_1 XI_1
说吧	SHUO_1 BA_0
进一步	JIN_4 YI_2 BU_4
过去了	GUO_4 QU_4 LE_0
一半	YI_2 BAN_4
立马	LI_4 MA_3
何	HE_4;HE_2
实际	SHI_2 JI_4
管	GUAN_3
工资	GONG_1 ZI_1
岁到	SUI_4 DAO_4
他来	TA_1 LAI_2
男朋友	NAN_2 PENG_2 YOU_3;NAN_2 PENG_2 YOU_0
的确	DI_2 QUE_4
十几	SHI_2 JI_3
前期	QIAN_2 QI_1
二十六	ER_4 SHI_2 LIU_4;ER_4 SHI_0 LIU_4
上下班	SHANG_4 XIA_4 BAN_1
养	YANG_3
后续	HOU_4 XU_4
四十	SI_4 SHI_2
三年	SAN_1 NIAN_2
误会	WU_4 HUI_4
委托	WEI_3 TUO_1
中的	ZHONG_1 DE_0;ZHONG_4 DI_4
所	SUO_3
我以为	WO_2 YI_3 WEI_2
很难	HEN_3 NAN_2
他家	TA_1 JIA_1
关	GUAN_1
努力	NU_3 LI_4
多长	DUO_1 CHANG_2
国际	GUO_2 JI_4
等你	DENG_2 NI_3
阳光	YANG_2 GUANG_1
敢	GAN_3
互联网	HU_4 LIAN_2 WANG_3
开朗	KAI_1 LANG_3
想想	XIANG_2 XIANG_3;XIANG_3 XIANG_3
在这里	ZAI_4 ZHE_4 LI_3;ZAI_4 ZHE_4 LI_0
全	QUAN_2
颜	YAN_2
两种	LIANG_2 ZHONG_3
上进心	SHANG_4 JIN_4 XIN_1
不明白	BU_4 MING_2 BAI_2
外在	WAI_4 ZAI_4
太远	TAI_4 YUAN_3
不一样的	BU_4 YI_2 YANG_4 DE_0
地铁站	DI_4 TIE_3 ZHAN_4
那个女孩	NA_4 GE_4 NV_3 HAI_2
顾家	GU_4 JIA_1
什么什么	SHEN_2 ME_0 SHEN_2 ME_0
期	JI_1;QI_1
怎么会	ZEN_3 ME_0 HUI_4
三岁	SAN_1 SUI_4
我们可以	WO_3 MEN_2 KE_3 YI_3
记录	JI_4 LU_4
男孩	NAN_2 HAI_2
习惯	XI_2 GUAN_4
演员	YAN_3 YUAN_2
哈哈哈	HA_1 HA_1 HA_1
状况	ZHUANG_4 KUANG_4
两个月	LIANG_3 GE_4 YUE_4
郑州	ZHENG_4 ZHOU_1
读	DOU_4;DU_2
起	QI_3
高中	GAO_1 ZHONG_1
么	MA_0;ME_0;MO_3;YAO_1
下去	XIA_4 QU_4
国企	GUO_2 QI_3
有关	YOU_3 GUAN_1
部	BU_4
我相信	WO_3 XIANG_1 XIN_4
认真	REN_4 ZHEN_1
身份证件	SHEN_1 FEN_4 ZHENG_4 JIAN_4
门	MEN_2
合肥	HE_2 FEI_2
小一	XIAO_3 YI_1
提高	TI_2 GAO_1
阿姨	A_1 YI_2
皮肤	PI_2 FU_1
易	YI_4
做起	ZUO_4 QI_3
不确定	BU_4 QUE_4 DING_4;BU_2 QUE_4 DING_4;BU_0 QUE_4 DING_4
在杭州	ZAI_4 HANG_2 ZHOU_1
社会	SHE_4 HUI_4
不给	BU_4 GEI_3
最好的	ZUI_4 HAO_3 DE_0
不适	BU_2 SHI_4
超过	CHAO_1 GUO_4
属	SHU_3;ZHU_3
不可以	BU_4 KE_2 YI_3
上课	SHANG_4 KE_4
确保您	QUE_4 BAO_3 NIN_2
同样	TONG_2 YANG_4
撮合	CUO_1 HE_2;CUO_1 HE_0
开心	KAI_1 XIN_1
陪	PEI_2
社交	SHE_4 JIAO_1
张	ZHANG_1
自主	ZI_4 ZHU_3
女	NV_3
在那边	ZAI_4 NA_4 BIAN_1
较	JIAO_4
放假	FANG_4 JIA_4
太高	TAI_4 GAO_1
才是	CAI_2 SHI_4
四	SI_4
你会不会	NI_3 HUI_4 BU_2 HUI_4
女的	NV_3 DE_0
培训	PEI_2 XUN_4
以下	YI_3 XIA_4
有信	YOU_3 XIN_4
哪些	NA_3 XIE_1;NEI_3 XIE_1
结	JIE_1;JIE_2;JIE_0
就是现在	JIU_4 SHI_4 XIAN_4 ZAI_4
很久	HEN_2 JIU_3;HEN_3 JIU_3
懂	DONG_3
朝九晚五	ZHAO_1 JIU_2 WAN_2 WU_3
一条	YI_4 TIAO_2
可是	KE_3 SHI_4;KE_3 SHI_0
满意	MAN_3 YI_4
乡	XIANG_1;XIANG_4
骗	PIAN_4
道	DAO_1;DAO_4;DAO_0
导致	DAO_3 ZHI_4
绝对	JUE_2 DUI_4
类似	LEI_4 SI_4
最多	ZUI_4 DUO_1
没空	MEI_2 KONG_4
自我介绍	ZI_4 WO_3 JIE_4 SHAO_4
啊哈	A_1 HA_1
家里的	JIA_1 LI_3 DE_0
店里	DIAN_4 LI_3
中国	ZHONG_1 GUO_2
特意	TE_4 YI_4
五六	WU_3 LIU_4
安全性	AN_1 QUAN_2 XING_4
再加	ZAI_4 JIA_1
做做	ZUO_4 ZUO_4
教育	JIAO_4 YU_4;JIAO_4 YU_0
过后	GUO_4 HOU_4
好找	HAO_2 ZHAO_3;HAO_3 ZHAO_3
成	CHENG_2
中山	ZHONG_1 SHAN_1
下次	XIA_4 CI_4
发送	FA_1 SONG_4
通知	TONG_1 ZHI_1
打车	DA_3 CHE_1
送	SONG_4
一致	YI_2 ZHI_4
音	YIN_1
发到	FA_1 DAO_4
电话号码	DIAN_4 HUA_4 HAO_4 MA_3;DIAN_4 HUA_4 HAO_2 MA_3
事儿	SHI_4 ER_2;SHI_4 ER_0
不容	BU_4 RONG_2
以内	YI_3 NEI_4
精力	JING_1 LI_4
五万	WU_3 WAN_4
高级	GAO_1 JI_2
满	MAN_3
消息	XIAO_1 XI_1;XIAO_1 XI_0
渠道	QU_2 DAO_4
好啊	HAO_4 A_0;HAO_3 A_1;HAO_3 A_0
继续	JI_4 XU_4
厦门	XIA_4 MEN_2
如果可以	RU_2 GUO_2 KE_2 YI_3
付	FU_4
看不到	KAN_4 BU_2 DAO_4
万象城	WAN_4 XIANG_4 CHENG_2
年龄阶段	NIAN_2 LING_2 JIE_1 DUAN_4
卖	MAI_4;MAI_0
不想说	BU_4 XIANG_3 SHUO_1
王	WANG_4;WANG_2;WANG_0
衣服	YI_1 FU_2;YI_1 FU_0
优	YOU_1
不跟	BU_4 GEN_1
问到	WEN_4 DAO_4
合作	HE_2 ZUO_4
我记得	WO_3 JI_4 DE_0
